water_pH,TDS,water_temp
5.88,512,25.56
6.45,316,24.88
8.89,307,24.69
8.35,717,24.5
6.82,298,24.81
7.9,339,23.63
8.03,312,24.06
8.68,363,24.75
6.78,327,22.06
7.64,334,23.38
7.04,422,24.31
9.03,338,22.94
7.12,332,24.94
12.25,790,24.38
9.09,407,23.38
7.86,307,24.75
6.2,532,26.63
6.85,321,23.88
7.95,302,24.0
6.0,528,26.19
9.2,311,24.5
6.69,327,22.13
6.05,306,25.38
7.78,389,24.69
6.06,296,24.63
6.7,373,25.25
7.97,328,22.0
6.07,421,24.56
6.92,332,24.81
8.81,336,22.94
7.0,319,23.94
11.44,379,24.06
5.94,514,25.94
6.44,314,23.44
6.54,1060,23.75
7.3,374,24.19
7.56,268,24.38
7.82,331,24.31
8.23,342,23.25
8.35,741,24.81
9.65,363,24.5
8.51,341,24.06
7.67,380,24.56
8.71,997,24.13
9.94,297,23.75
7.57,438,23.19
7.73,345,23.75
8.24,771,23.06
7.56,424,24.56
8.46,340,26.13
7.92,343,23.69
6.74,375,25.19
7.93,317,24.69
6.18,331,25.25
9.36,366,25.44
8.4,328,22.94
7.98,344,24.5
9.15,335,24.19
7.91,334,26.13
9.21,429,24.31
6.24,540,25.88
7.48,305,25.0
9.74,304,24.25
9.56,376,24.25
8.18,335,22.81
9.14,404,23.5
9.73,344,23.44
6.57,330,25.25
8.93,331,22.81
8.74,342,23.5
7.11,359,24.5
6.71,717,23.88
9.73,340,23.06
8.64,348,24.63
6.12,442,23.81
6.82,328,22.0
8.4,340,23.06
7.71,431,23.31
11.01,387,24.38
9.91,344,23.25
6.66,295,24.31
8.5,305,24.69
5.67,343,25.25
6.06,442,24.13
8.91,343,24.06
9.8,341,24.13
7.66,305,24.88
6.94,303,24.81
8.52,342,23.25
6.73,316,24.0
7.69,329,24.19
9.16,343,23.69
12.43,366,25.5
11.89,337,24.25
7.58,418,23.69
8.13,310,24.06
9.03,848,24.5
7.37,423,23.69
7.02,329,22.31
10.04,339,22.75
7.28,741,22.38
9.28,431,24.44
7.03,332,25.13
6.8,450,23.69
7.37,274,24.19
6.33,437,23.88
9.61,423,24.81
7.87,442,24.13
9.56,345,24.25
9.48,367,24.69
7.35,329,22.31
8.92,307,25.0
11.0,389,23.13
7.6,262,25.38
7.14,320,23.69
8.03,689,24.5
7.6,268,24.75
5.66,325,24.44
6.14,533,26.19
7.52,267,25.38
7.16,367,25.94
6.01,536,26.5
11.25,895,24.5
6.96,327,22.19
9.83,361,24.5
7.96,424,24.25
7.3,268,24.56
7.25,340,26.06
5.97,305,25.44
8.8,393,24.88
6.23,442,23.63
10.81,424,22.88
8.59,346,23.44
8.99,370,24.06
8.42,341,23.81
6.38,423,25.0
7.52,304,24.56
5.59,506,25.69
9.2,331,24.25
8.91,423,23.69
6.03,440,23.56
7.72,329,24.44
8.29,350,23.5
8.99,342,23.31
8.94,342,23.5
5.96,295,24.25
7.4,443,23.5
9.29,367,25.0
8.66,340,23.19
8.42,340,23.0
9.71,345,24.19
7.49,268,25.13
6.05,546,26.81
8.16,349,24.31
9.52,402,24.94
9.05,338,23.13
8.74,418,23.75
9.17,310,23.88
7.91,342,23.13
7.41,667,24.88
8.02,530,25.31
8.03,348,24.69
5.98,1432,26.31
9.4,640,24.06
8.44,335,22.81
7.01,340,22.88
9.26,336,23.31
7.68,298,24.38
7.4,417,24.25
9.28,340,23.19
9.12,311,24.38
9.64,390,23.81
5.55,526,25.56
10.12,340,23.13
5.77,521,25.38
9.24,311,24.19
7.61,415,23.94
5.63,569,26.38
5.66,543,26.94
8.19,317,24.63
9.47,342,23.38
9.64,294,23.75
7.17,882,25.25
7.0,324,24.56
7.85,417,24.5
8.9,306,24.0
7.73,329,22.69
10.38,319,24.69
9.11,337,23.63
6.91,314,23.69
8.93,329,22.75
6.8,336,25.13
5.89,295,25.44
8.77,342,23.31
6.71,304,25.5
7.15,529,25.56
8.35,301,25.0
9.28,331,22.75
9.93,371,26.19
9.1,368,25.5
6.33,325,24.13
10.05,340,23.25
7.41,332,25.06
10.67,417,23.06
8.47,412,24.25
7.68,333,22.56
6.69,320,25.06
6.26,535,26.94
7.6,270,24.31
7.85,417,24.06
7.86,316,23.69
10.34,336,23.0
6.95,319,24.75
8.63,315,24.5
8.91,290,23.75
10.16,366,25.69
7.49,374,24.06
9.06,340,23.06
6.78,445,23.38
9.64,346,23.5
7.95,343,23.75
7.79,380,24.5
7.4,537,26.06
9.09,404,23.88
6.5,330,22.0
9.59,424,24.63
6.49,444,24.06
8.83,342,23.25
6.58,302,24.69
6.02,700,23.5
7.15,450,23.75
9.34,753,23.06
8.14,335,22.81
9.62,343,23.75
7.58,329,22.69
8.49,373,24.81
9.65,332,22.94
10.42,343,24.31
8.07,1060,23.38
9.74,342,23.31
7.74,661,24.25
8.79,308,23.69
7.3,331,22.56
6.08,310,23.56
7.87,1005,24.25
6.57,324,24.56
8.14,417,24.19
9.64,368,25.25
12.52,379,23.94
7.75,346,23.5
6.18,401,24.38
10.11,1020,24.88
6.32,294,25.25
8.12,321,24.56
6.17,667,25.56
9.7,384,24.88
9.06,329,24.44
8.33,331,22.75
6.61,437,24.13
7.31,314,23.69
5.97,296,24.38
6.62,430,23.63
7.79,311,24.69
9.29,346,23.44
8.83,302,23.94
7.13,369,24.94
6.97,320,24.69
9.33,342,24.44
9.44,290,23.75
5.94,330,22.0
10.29,342,23.31
6.7,385,24.31
13.47,332,24.5
9.95,373,25.31
6.6,423,23.38
7.16,367,24.94
6.78,317,24.13
10.0,421,24.75
9.05,337,22.75
8.13,452,23.88
13.08,390,25.69
5.88,324,24.94
7.06,418,23.81
6.89,338,23.0
7.05,443,23.5
8.66,344,23.25
9.15,340,23.06
9.14,315,24.63
6.32,341,25.5
6.6,321,23.94
7.87,353,24.19
7.93,329,22.69
6.56,538,25.56
9.36,667,24.5
7.34,316,23.75
9.46,295,23.81
7.24,332,24.75
9.01,815,23.75
6.79,268,24.19
8.18,350,23.5
8.21,431,23.13
10.05,340,23.19
8.75,344,23.63
9.55,365,24.44
9.2,361,24.25
6.83,327,22.69
8.46,331,22.69
11.61,361,24.19
8.4,345,24.19
6.88,353,23.94
8.4,346,26.13
5.8,446,24.19
8.65,349,23.75
6.75,431,23.06
7.53,332,24.88
7.8,422,24.31
10.44,771,22.94
10.25,337,22.75
7.95,334,23.19
6.76,1100,23.25
9.34,345,23.69
6.34,442,24.13
7.41,305,24.88
6.08,540,25.88
9.52,667,24.38
8.55,315,24.0
8.87,667,24.13
7.0,317,24.31
7.12,325,24.31
8.89,331,22.75
9.38,367,24.63
7.03,296,24.81
7.43,333,22.69
6.33,344,25.06
7.6,267,24.38
5.65,324,24.94
8.41,330,24.56
7.94,349,24.0
9.49,365,24.88
7.64,376,24.25
7.7,312,24.13
6.11,426,23.38
7.53,415,24.13
6.61,296,25.0
9.97,342,23.31
6.05,532,26.94
7.64,331,22.69
7.37,333,24.19
7.25,353,23.94
8.66,363,24.5
7.28,329,22.19
8.74,344,23.56
8.73,306,24.31
9.04,297,23.88
5.68,547,26.81
6.25,304,24.25
8.0,343,23.69
6.72,319,24.06
9.29,310,24.13
8.62,777,25.06
7.97,424,24.31
9.02,344,24.56
7.97,445,23.56
8.23,346,23.63
8.55,340,23.44
6.25,547,25.5
9.52,334,23.06
7.83,367,24.63
9.68,367,24.88
6.25,442,24.13
5.57,569,26.38
6.1,302,24.38
5.97,515,25.44
7.73,426,23.31
8.34,350,23.5
9.52,340,23.0
9.09,309,24.69
6.51,524,26.69
5.96,301,25.19
6.7,332,23.56
6.36,296,24.56
6.19,306,24.31
6.44,339,23.69
9.55,419,24.56
6.41,321,23.94
7.84,334,22.88
7.12,369,24.88
7.58,417,24.31
5.86,507,25.44
6.17,328,21.94
7.32,330,24.75
5.62,523,25.75
7.64,334,21.94
7.43,447,23.63
5.8,515,25.5
8.37,327,22.31
5.68,324,24.94
9.08,342,24.69
7.87,307,24.75
7.01,369,24.88
6.06,558,25.88
6.65,331,22.06
5.66,294,24.88
8.46,340,23.06
9.16,367,24.69
5.81,515,25.75
9.66,396,23.19
6.64,444,24.13
6.12,520,26.06
7.68,408,24.19
7.41,319,24.63
9.21,319,22.75
7.27,333,22.56
6.51,342,25.0
9.72,342,23.31
9.49,334,23.19
6.54,317,24.5
10.36,338,22.94
8.1,344,23.31
7.89,327,22.63
8.07,433,23.38
8.53,338,26.13
6.87,530,25.38
8.53,319,24.13
7.37,296,25.31
6.03,485,24.06
9.92,346,23.31
9.66,349,24.19
6.34,296,24.75
10.18,299,23.69
7.54,312,23.56
6.66,321,23.88
6.1,555,25.81
7.08,369,24.94
7.63,295,24.44
7.66,400,24.75
8.73,342,23.56
10.4,390,23.69
8.48,361,24.63
8.61,327,22.31
8.66,329,22.63
10.16,344,23.31
9.24,340,23.0
6.82,335,23.63
7.67,405,24.5
7.35,331,22.06
7.65,415,24.06
7.18,336,24.94
5.56,324,24.81
8.81,310,24.0
7.19,645,24.75
6.04,325,24.25
9.21,309,24.75
9.32,340,24.63
8.97,330,24.56
8.53,342,24.63
6.61,426,23.38
9.95,342,23.44
7.41,280,24.88
6.41,541,25.44
9.42,355,24.63
10.31,337,22.75
7.4,346,23.5
9.47,369,24.88
9.98,765,23.0
11.8,389,23.25
8.23,310,23.88
6.05,361,24.5
8.95,329,24.25
7.56,266,24.75
8.55,378,24.25
6.82,350,23.5
8.04,349,24.38
9.54,445,23.69
6.14,304,25.56
7.35,303,25.06
6.86,645,24.5
6.6,305,25.38
7.74,344,23.63
9.66,363,24.38
8.4,340,22.94
6.32,1442,25.75
9.98,343,24.0
9.12,310,23.94
7.56,565,24.69
10.32,765,22.88
8.31,366,24.25
6.11,303,25.13
5.73,440,25.0
9.04,299,23.69
7.33,291,24.56
6.63,325,24.38
8.43,363,24.56
6.55,329,22.19
9.24,309,24.81
9.05,387,24.69
9.62,343,23.75
7.98,310,24.06
8.18,305,24.94
9.39,689,23.56
7.81,317,24.0
7.26,319,24.69
7.07,339,25.88
8.56,330,24.81
10.34,342,23.25
9.17,372,25.63
8.35,311,24.25
7.78,415,24.19
8.0,316,23.88
7.26,268,24.69
5.67,483,25.06
6.2,304,23.94
8.31,341,23.75
6.99,443,23.38
7.6,312,23.81
7.54,413,24.13
6.78,321,24.56
8.47,310,23.63
8.61,307,25.06
5.83,342,24.69
7.92,319,24.19
5.97,298,24.56
6.18,553,26.44
9.05,302,24.25
8.04,333,22.63
11.4,392,24.06
8.79,338,23.0
7.45,431,24.69
9.41,299,23.94
6.47,304,25.5
7.41,280,24.44
9.19,416,23.5
9.18,421,24.56
7.32,269,25.06
6.8,527,25.31
7.15,330,22.06
9.67,373,26.19
7.3,672,24.81
7.34,332,24.81
9.2,331,22.75
7.04,361,24.44
7.69,268,24.63
9.57,378,24.31
9.36,440,23.63
8.87,329,25.44
8.69,331,24.25
7.31,340,24.94
8.87,341,23.69
7.7,338,23.25
8.46,759,22.81
8.2,337,23.56
10.6,397,22.44
5.81,512,25.81
6.67,335,22.06
9.39,413,25.5
7.94,413,24.06
6.17,442,24.0
6.89,319,24.38
8.69,372,25.31
6.95,334,24.63
10.12,340,23.25
8.35,327,22.25
6.25,314,23.5
7.38,295,24.38
5.68,285,23.38
6.19,689,23.5
8.65,334,24.88
9.71,437,22.63
7.55,332,24.88
7.31,329,22.69
8.26,342,23.63
8.64,667,24.81
5.62,269,25.25
6.75,445,23.44
6.42,526,26.88
13.84,334,24.56
7.76,295,24.25
8.56,352,23.56
7.82,308,23.63
7.51,394,24.44
7.06,324,24.56
8.61,329,24.19
7.08,329,22.69
8.04,310,23.63
8.47,382,24.63
8.3,342,23.44
8.06,311,24.25
8.82,373,25.19
7.32,401,24.25
6.17,334,21.94
6.26,1515,26.5
7.82,344,23.44
8.77,330,24.69
7.71,318,23.69
8.34,338,23.06
6.31,435,23.63
10.54,385,22.94
8.37,349,24.31
10.65,426,23.06
7.13,361,24.63
8.59,433,23.5
9.12,338,22.94
7.29,367,24.81
7.06,304,24.25
6.01,303,24.81
7.94,316,24.0
8.35,307,24.94
8.96,343,23.69
6.1,439,24.06
7.03,346,23.5
6.79,442,24.13
9.43,295,24.13
9.63,339,22.75
8.53,338,24.81
8.62,329,22.56
10.9,383,22.44
8.39,329,22.19
6.65,349,23.94
7.22,327,22.13
9.3,342,23.25
5.71,423,24.75
6.89,435,23.81
6.56,341,25.44
8.63,344,23.56
6.35,383,24.31
8.35,317,24.31
9.61,346,23.56
6.08,441,24.19
7.9,376,24.19
7.98,342,23.31
5.72,367,25.06
11.8,388,22.44
7.57,330,21.94
8.72,413,25.56
7.05,353,24.19
9.76,330,24.56
7.96,331,24.44
8.72,783,24.25
7.88,331,22.69
7.28,340,23.25
10.13,339,22.75
7.11,363,24.69
6.86,446,23.19
9.3,344,23.44
11.73,387,22.63
6.59,426,23.25
8.14,307,24.88
7.21,363,24.69
7.7,341,25.63
9.39,368,25.25
9.57,343,24.0
6.88,325,24.44
7.39,336,23.0
8.03,452,23.88
6.6,327,23.94
9.86,342,23.44
9.17,747,24.31
8.08,395,24.75
9.9,442,23.63
10.85,364,25.0
7.0,334,23.13
7.62,312,23.94
9.64,341,22.75
6.07,502,25.06
9.13,345,23.63
7.98,310,24.0
10.05,299,23.94
9.85,341,22.75
8.48,338,23.13
6.82,325,23.94
8.27,334,23.13
8.87,406,25.5
7.98,310,24.0
7.62,444,24.0
6.84,295,24.19
8.94,310,23.69
6.97,321,24.19
8.26,304,24.31
5.68,412,24.44
5.67,478,25.19
8.71,342,23.44
6.46,437,24.13
8.03,319,24.19
9.49,335,22.75
7.79,309,24.81
7.6,266,25.38
5.52,383,24.06
7.06,276,25.19
9.05,344,23.38
7.11,296,24.63
9.63,334,23.06
7.18,440,23.44
10.02,340,22.94
8.89,975,23.69
7.09,324,21.94
11.32,387,22.94
6.62,452,23.75
9.72,368,24.25
7.29,848,24.56
7.76,345,23.69
11.85,396,22.94
7.94,340,25.06
7.06,296,24.44
7.66,302,24.75
8.91,312,23.88
6.13,305,24.81
9.21,342,23.63
7.59,442,24.06
5.73,367,24.94
8.45,335,22.69
9.45,340,24.56
8.19,332,25.13
5.54,496,25.44
8.42,332,24.88
10.11,303,23.69
10.72,396,23.19
6.84,403,24.25
8.86,421,24.88
6.29,325,24.38
7.18,483,24.0
7.26,269,24.94
5.84,442,24.13
7.74,426,23.38
6.95,328,21.94
6.97,434,23.13
6.86,369,24.81
8.29,343,22.81
7.02,441,24.19
7.98,436,23.13
9.22,378,24.56
5.77,547,26.63
8.89,337,22.75
6.95,351,24.06
7.46,330,24.69
8.12,443,23.31
6.95,336,25.06
8.42,336,24.94
8.7,412,23.38
8.74,344,23.56
6.82,431,23.06
5.59,296,24.69
9.43,340,23.31
8.45,342,23.31
9.8,339,22.75
10.34,290,23.75
5.52,343,25.31
8.3,341,25.44
6.11,509,25.63
5.94,514,25.94
7.42,418,23.88
5.89,645,24.63
9.81,349,24.0
6.75,332,21.94
7.17,344,23.38
5.81,539,26.19
6.5,537,25.88
7.44,535,25.75
6.05,410,24.44
9.28,343,24.06
8.89,363,24.63
9.14,308,23.63
8.27,338,23.0
6.08,442,24.06
9.47,343,23.75
8.32,375,25.0
7.18,435,23.75
7.87,317,24.63
8.52,329,22.63
6.02,672,25.31
10.03,342,23.25
6.58,532,25.56
7.38,295,24.44
9.9,306,24.44
6.08,295,24.19
8.64,303,24.69
5.7,450,26.0
8.53,337,24.0
8.5,329,24.19
8.4,342,23.38
6.84,341,25.31
7.9,336,23.19
6.32,437,23.81
5.92,529,26.75
6.83,252,25.31
7.54,426,23.38
9.72,340,23.38
7.45,841,24.5
9.71,304,24.56
8.18,418,25.31
8.82,307,24.69
11.08,352,24.75
7.78,343,23.69
7.26,268,24.69
8.74,342,23.06
5.89,296,24.63
6.89,321,23.88
10.0,342,23.38
8.97,344,23.38
8.24,1117,23.69
6.98,329,22.25
8.82,332,24.63
9.51,374,25.88
9.55,345,23.75
8.77,341,23.75
8.19,307,24.5
7.54,329,22.56
8.36,351,24.31
8.23,341,23.69
7.71,316,23.75
10.46,388,22.56
8.85,329,22.5
6.35,378,24.75
8.55,334,23.13
7.67,304,24.63
8.08,312,23.63
10.06,407,23.5
9.38,306,24.31
5.69,294,24.88
6.71,444,23.94
10.26,342,22.88
8.95,336,22.94
6.1,435,23.69
7.7,328,22.0
8.85,312,23.88
9.23,331,22.75
8.4,330,22.88
10.22,368,25.56
6.35,296,24.81
9.97,361,24.25
8.33,305,25.06
7.48,329,24.38
8.68,327,22.56
8.33,342,25.0
8.12,317,24.63
5.87,515,25.63
9.24,333,22.75
7.92,304,24.38
6.27,330,25.25
7.37,340,23.38
8.36,342,23.56
9.16,304,24.06
7.93,448,23.5
10.32,425,23.88
8.51,421,23.5
5.87,303,25.19
5.83,363,24.63
7.19,369,25.0
8.34,334,23.13
6.35,294,24.88
8.59,335,24.0
8.16,329,22.5
7.73,344,23.56
5.87,440,23.56
9.07,342,23.13
7.16,294,25.44
5.68,432,23.81
7.87,329,22.75
6.33,539,26.31
5.63,519,26.13
8.08,342,23.31
8.7,344,23.63
9.27,335,22.69
7.63,295,24.19
8.38,315,24.69
5.95,303,25.19
5.79,537,26.94
7.95,341,25.94
7.82,438,23.31
6.65,304,24.44
7.98,1092,24.0
8.95,418,23.69
8.5,369,24.75
9.26,331,24.19
7.31,367,25.94
5.86,437,24.06
6.25,352,23.69
6.81,325,24.44
9.12,296,24.88
5.6,437,24.0
8.99,336,22.81
8.89,306,24.19
8.51,337,22.75
5.55,522,26.0
8.48,342,23.44
7.33,661,24.44
7.85,336,25.13
8.36,310,23.75
7.26,334,24.63
7.19,524,25.56
8.16,342,23.56
8.82,340,23.38
7.14,306,25.56
9.06,310,23.69
8.09,327,22.38
9.1,342,23.5
8.51,418,24.0
9.37,346,23.38
7.25,343,22.75
5.72,373,24.88
8.51,345,24.31
5.87,433,23.5
10.87,362,25.0
10.3,341,22.75
11.51,394,22.88
8.13,306,24.25
9.77,369,24.81
8.14,336,23.13
5.81,560,26.38
8.05,317,24.69
9.88,338,23.06
13.17,336,24.5
5.8,296,24.94
7.53,329,22.75
6.58,315,24.25
8.41,340,23.25
6.41,480,24.06
7.09,306,25.44
6.69,317,24.44
8.82,331,22.56
8.08,330,24.56
6.57,298,25.0
5.84,438,23.63
8.65,290,24.0
5.94,415,24.25
7.57,330,22.06
8.76,340,23.13
7.07,293,24.19
6.83,380,24.56
5.74,294,24.88
7.79,332,25.06
5.69,514,25.94
8.6,311,24.75
10.0,346,23.31
8.52,339,24.0
7.44,295,24.19
6.3,435,23.75
7.6,293,24.19
6.6,452,23.81
6.2,303,25.31
8.08,304,24.38
8.06,331,22.31
5.51,533,25.25
6.54,325,24.25
7.45,339,23.69
6.58,350,23.44
6.0,295,24.44
9.84,363,24.25
6.73,288,24.06
10.25,337,22.81
8.88,344,23.63
9.49,343,23.75
9.01,343,24.06
8.22,304,24.19
7.21,305,25.38
8.34,332,24.38
8.39,313,24.31
6.39,296,24.88
6.13,296,24.56
7.93,436,23.13
9.54,310,23.56
10.28,340,23.0
8.46,340,25.06
9.66,366,25.31
5.99,306,23.94
7.4,341,23.81
8.15,344,23.56
8.65,305,25.0
9.87,372,25.69
8.19,334,25.13
8.25,342,23.19
7.23,413,23.63
6.53,324,22.0
6.3,537,26.94
8.36,307,24.75
8.05,309,24.94
7.33,342,25.0
5.98,547,26.63
7.07,528,26.0
5.59,379,24.06
5.69,513,25.44
9.01,343,23.75
8.92,305,24.5
7.32,305,24.69
8.74,342,22.88
7.24,313,24.5
8.08,332,25.0
10.78,390,22.44
8.0,361,24.56
7.68,382,24.69
9.05,308,23.56
8.52,342,23.5
6.62,313,24.38
10.96,396,23.25
10.34,336,23.0
7.34,406,25.06
7.66,309,24.63
7.63,294,24.69
6.22,311,24.44
7.51,332,23.56
7.46,295,24.25
6.04,295,24.19
7.4,352,23.5
7.09,327,22.31
6.97,324,24.94
6.05,294,24.75
9.19,304,24.63
7.01,329,22.25
5.69,532,26.75
6.78,334,25.06
8.11,440,23.38
7.24,369,24.88
8.25,332,25.0
8.95,326,22.94
7.7,351,24.13
8.6,338,23.25
6.1,841,24.56
8.03,312,23.63
8.86,374,25.69
7.35,332,24.94
10.16,340,23.13
5.83,1248,25.19
9.72,338,23.0
7.65,305,25.25
8.24,317,24.69
8.51,330,24.63
9.11,342,23.63
8.18,310,23.56
6.07,324,25.13
9.96,340,23.13
7.93,341,25.31
8.7,336,23.13
5.96,449,24.0
8.65,672,23.94
8.41,344,23.19
7.87,344,23.25
8.24,790,25.69
9.37,336,22.88
7.06,377,23.81
9.57,341,22.75
10.22,340,23.19
7.31,296,24.56
6.28,1084,24.0
9.85,308,24.38
7.23,329,22.56
5.69,562,26.69
10.63,299,23.81
9.73,306,24.31
7.76,331,25.25
9.76,422,22.88
5.84,506,25.75
7.7,771,23.81
7.54,270,24.63
8.91,334,23.31
6.64,550,25.38
6.81,321,24.06
9.28,424,24.38
10.07,336,22.94
9.68,297,23.75
6.36,444,24.13
7.04,336,22.88
7.18,645,24.81
8.61,308,24.19
5.7,491,25.25
7.79,319,24.63
6.46,352,23.5
7.95,313,24.63
6.66,312,23.63
6.98,318,23.5
6.9,332,25.0
8.07,307,24.44
7.28,361,24.38
9.32,317,24.0
7.06,340,23.19
9.91,342,23.31
6.31,661,24.69
6.31,326,24.75
11.6,388,22.56
8.29,306,24.44
6.69,321,23.88
5.71,515,25.63
5.66,510,25.38
9.08,368,25.56
8.39,340,25.13
8.88,344,23.56
8.79,290,23.75
7.59,305,25.0
9.09,344,23.56
7.78,450,23.75
6.13,310,23.63
7.08,332,24.88
8.87,292,23.75
8.49,329,22.19
7.6,269,25.06
7.14,321,24.38
7.6,269,25.06
9.91,363,24.38
7.57,302,24.75
8.96,333,24.31
5.8,361,24.69
9.58,311,24.38
8.84,308,23.56
9.93,346,23.25
6.58,367,24.88
7.29,544,25.31
9.59,437,22.69
7.19,311,23.31
5.82,510,25.25
9.53,345,22.88
5.86,510,25.44
7.48,802,23.56
7.58,348,25.19
7.49,444,24.31
8.6,344,23.38
7.11,882,25.19
10.02,342,22.94
11.82,386,22.44
8.39,307,23.56
5.61,341,25.5
7.13,536,26.5
6.64,438,23.31
10.09,297,23.81
8.25,302,24.13
8.82,309,24.38
6.26,334,21.94
10.34,306,24.13
5.55,298,24.69
9.15,424,24.31
8.69,386,23.94
10.1,367,24.63
7.95,310,23.63
7.12,292,25.25
9.76,340,22.88
5.59,488,25.38
8.88,327,25.31
5.86,513,25.38
5.68,493,25.44
8.66,330,24.56
9.97,381,23.69
8.56,771,24.63
6.2,324,24.63
7.26,268,25.13
5.91,508,25.13
8.42,301,24.94
7.37,383,24.25
8.85,306,24.25
7.57,306,24.25
8.33,356,24.69
6.99,316,24.88
8.9,411,23.81
12.55,345,24.38
8.33,340,23.06
10.51,651,24.0
7.42,417,24.13
5.81,442,24.06
7.89,316,23.56
9.84,359,24.38
7.87,343,23.69
10.45,304,23.81
9.62,361,24.38
7.93,331,22.56
8.82,790,23.75
13.48,381,24.0
5.96,413,25.13
7.41,446,23.19
10.27,344,23.63
7.42,329,22.31
8.82,333,22.75
7.24,342,23.38
7.18,418,23.94
8.32,380,24.88
7.12,531,26.13
6.12,433,23.44
8.4,443,23.38
7.89,412,23.38
6.95,333,22.63
6.18,444,24.13
9.47,417,23.06
7.55,298,24.44
7.2,448,24.69
8.94,345,22.88
7.86,351,24.25
9.87,412,23.31
9.22,334,23.31
10.94,315,24.38
7.86,341,25.38
7.85,415,24.25
8.24,307,25.0
8.29,347,25.75
5.51,287,23.5
8.15,441,23.19
9.93,342,23.38
8.74,344,23.31
7.63,333,24.19
7.12,447,23.63
5.87,463,26.19
8.38,790,23.63
10.52,342,23.44
6.87,321,24.06
5.94,513,25.44
10.47,306,24.19
9.78,369,25.13
7.79,331,22.63
8.01,442,23.63
7.02,319,24.63
6.11,321,24.13
9.28,372,25.75
8.27,340,22.88
7.31,445,23.38
8.08,346,23.63
9.07,344,23.56
7.12,667,24.94
5.55,539,26.19
7.3,270,24.88
5.53,363,24.69
7.51,320,23.75
6.15,1442,26.56
7.73,313,24.5
6.91,421,23.5
9.98,415,24.13
6.61,534,26.13
9.56,342,23.31
10.88,392,22.63
9.48,421,24.5
7.49,376,24.19
5.86,513,25.44
8.78,429,24.44
7.51,330,21.94
9.18,380,24.56
8.36,329,22.69
9.7,350,23.5
8.11,310,23.69
6.0,294,24.69
7.69,444,24.19
8.02,735,22.13
8.37,336,24.88
7.5,315,24.69
9.27,440,23.63
6.62,438,23.56
6.05,304,25.56
5.75,361,24.63
8.24,434,23.13
8.7,683,23.56
10.05,344,23.44
7.51,418,23.88
9.22,312,23.63
6.17,540,25.81
6.87,322,23.75
7.98,309,24.75
8.42,441,23.19
8.61,342,23.06
7.02,342,24.63
7.41,436,23.38
5.61,294,24.88
6.29,439,24.0
8.59,310,23.88
6.07,306,25.38
8.99,344,23.5
7.89,438,23.38
6.3,330,22.0
6.99,303,25.44
7.3,267,25.38
6.87,303,24.88
9.68,342,23.31
7.82,533,25.31
8.22,393,24.75
8.85,429,24.44
7.29,441,23.25
6.49,321,24.19
5.61,324,24.94
7.12,437,23.69
7.48,309,24.75
8.54,423,24.88
6.37,364,23.94
8.2,312,24.0
14.27,330,24.5
7.94,337,22.75
8.58,439,24.19
9.16,329,22.75
8.85,342,23.19
8.08,317,24.5
7.95,331,25.25
6.76,351,24.25
8.15,344,23.56
